id,name,bird_type,scientific_name,description,traits,habitat,diet,conservation_status,image_url,spotted_locations,size,call,seasonality,behaviours
1,Red-throated Diver,Diver,Gavia stellata,A medium-sized diving bird with a slender body and distinctive red throat.,"Medium-sized, slender body, red throat patch, long pointed bill.",Breeds in freshwater lakes and ponds; winters in coastal seas and bays.,"Fish, crustaceans, and other small aquatic animals.",Least Concern,https://images.unsplash.com/photo-1486365227551-f3f90034a57c?w=1400&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Mnx8YmlyZHxlbnwwfHwwfHx8MA%3D%3D,"Coastal areas of Scotland, Ireland, and northern England; Arctic regions during breeding.",55,"Melancholic wails and wailing howls, especially during breeding season.",Summer visitor to northern areas; winters along coasts.,Excellent swimmer and diver; rarely seen on land except for nesting.
2,Great Northern Diver,Diver,Gavia immer,"A large, powerful diving bird with striking black-and-white plumage and a dagger-like bill.","Large body, black head, white underparts, checkered black-and-white back, sharp bill.",Breeds on freshwater lakes; winters on coastal seas and estuaries.,Primarily fish; occasionally mollusks and crustaceans.,Least Concern,,"Coastal areas in Scotland, Ireland, and southwest England during winter.",81,"Distinctive eerie wailing, yodel-like calls often heard during breeding season.",Winter visitor to the UK; breeds in northern Canada and Greenland.,Expert swimmer and diver; dives to great depths to catch fish.
3,Great Crested Grebe,Diver,Podiceps cristatus,A striking waterbird with a distinctive ruff of feathers and elegant courtship displays.,"Medium-sized, long neck, reddish-brown ruff, white cheeks, slender body.","Lakes, reservoirs, and slow-moving rivers; prefers freshwater.","Fish, aquatic insects, and small crustaceans.",Least Concern,,Widespread across the UK on freshwater lakes and reservoirs.,50,"Low growls and a series of repeated, sharp “crick-crick” sounds.",Year-round resident in the UK; some populations migrate short distances.,Famous for elaborate courtship dances; excellent swimmer and diver.
4,Little Grebe,Diver,Tachybaptus ruficollis,"A small, fluffy waterbird with a stubby body and a characteristic “peep” call.","Small size, rounded body, dark brown plumage, chestnut neck in breeding season, short bill.","Ponds, lakes, slow-moving rivers, and wetlands.","Aquatic invertebrates, small fish, and crustaceans.",Least Concern,,"Found across the UK in small freshwater bodies, especially in quieter areas.",29,High-pitched “peep-peep” often heard near reed beds.,Year-round resident in the UK.,Excellent diver; rarely seen flying and prefers to stay close to cover.
5,Manx Shearwater,Fulmars,Puffinus puffinus,"A sleek seabird known for its graceful flight, dark upperparts, and white underparts.","Medium-sized, long slender wings, dark upperparts, white underparts, and a slightly hooked bill.",Open ocean; breeds on coastal cliffs and islands.,"Fish, squid, and other small marine organisms.",Least Concern,,"Breeds on islands off the UK coast, such as Skomer and Skokholm; seen offshore in open seas.",35,"Distinctive eerie, wailing calls often heard at night near breeding colonies.",Summer breeder in the UK; winters in the South Atlantic.,Master of gliding flight; spends most of its life at sea and comes ashore only to breed.
6,Fulmar,Fulmars,Fulmarus glacialis,"A robust seabird with stiff-winged flight, resembling a small gull but closely related to petrels.","Medium-sized, tube-nosed bill, pale grey upperparts, white underparts, and stiff wings.",Coastal cliffs and open ocean.,"Fish, squid, and scavenged food such as offal.",Least Concern,,Breeding on cliffs along the northern and western coasts of the UK; often seen gliding over the sea.,45,"Guttural, grating “kek-kek-kek” sounds during breeding season.","Year-round resident, but more commonly seen near breeding sites in spring and summer.",Expert glider; spits foul-smelling oil as a defense mechanism.
7,Gannet,Gannets,Morus bassanus,"A large, striking seabird with a white body, black wingtips, and a distinctive yellowish head. Known for spectacular diving.","Large size, long pointed wings, white body, black wingtips, yellowish head, and sharp beak.",Open ocean and coastal cliffs during the breeding season.,"Fish, especially shoaling species like mackerel and herring.",Least Concern,,"Breeding on UK coasts such as Bass Rock, St Kilda, and Bempton Cliffs; seen offshore year-round.",94,"Harsh, throaty “arrk-arrk” calls heard mainly at breeding colonies.",Breeds in spring and summer; disperses offshore during winter.,Famous for plunge-diving from great heights to catch fish; flies with steady wingbeats.
8,Cormorant ,Cormorants,Phalacrocorax carbo,"A large, dark waterbird with a distinctive long neck and hooked bill, often seen drying its wings.","Large, black plumage with a greenish sheen, long neck, hooked bill, and webbed feet.","Coastal cliffs, estuaries, rivers, and lakes.","Fish, caught by diving underwater.",Least Concern,,"Found across the UK, especially along coasts, inland lakes, and rivers.",90,"Grunting and croaking sounds, mainly at breeding colonies.",Year-round resident in the UK.,Skilled diver; often seen standing with wings outstretched to dry.
9,Shag,Cormorants,Phalacrocorax aristotelis,"A slender, glossy black seabird with a distinctive greenish sheen and a crest during the breeding season.","Smaller than the Cormorant, slender body, glossy black plumage, greenish sheen, and crested head in breeding season.",Coastal cliffs and rocky shores.,"Fish, especially small species like sand eels, caught by diving.",Least Concern,,"Common along UK coasts, especially in Scotland, Wales, and southwest England.",68,"Harsh croaks and grunts, mainly at breeding colonies.",Year-round resident in the UK.,Expert diver; forages underwater and often perches on rocks to dry wings.
10,Bittern,Herons,Botaurus stellaris,"A secretive, well-camouflaged heron known for its booming call and preference for reed beds.","Medium-sized, streaked brown plumage, stocky body, and short neck.",Freshwater wetlands with extensive reed beds.,"Fish, amphibians, insects, and other small aquatic creatures.",Least Concern (globally); Amber listed in the UK due to habitat loss.,,"Found in wetlands like RSPB reserves (e.g., Minsmere, Ham Wall).",76,"Deep, resonant “booming” sound, often heard at dawn and dusk during breeding season.",Resident breeder in the UK; numbers boosted by winter migrants.,Secretive; uses its streaked plumage to blend into reed beds when disturbed.
11,Little Egret,Herons,Egretta garzetta,"Small, white plumage, slender black bill, black legs, yellow feet, and long neck.","Small, white plumage, slender black bill, black legs, yellow feet, and long neck.","Estuaries, wetlands, shallow lakes, and rivers.","Fish, amphibians, crustaceans, and insects.",Least Concern,,"Increasingly common in southern UK wetlands, estuaries, and coastal areas.",60,"A harsh “karrk” sound, mainly heard during flight or near nesting sites.",Year-round resident in southern UK; some seasonal movements within Europe.,Graceful and active feeder; often seen stirring water with feet to catch prey.
12,Grey Heron,Herons,Ardea cinerea,"A large, elegant wading bird with long legs, a long neck, and a dagger-like bill, often seen standing motionless near water.","Large size, grey plumage, white head with black crest, long legs, and a sharp, yellow bill.","Wetlands, rivers, lakes, estuaries, and garden ponds.","Fish, amphibians, insects, and occasionally small mammals or birds.",Least Concern,,"Found across the UK in wetlands, urban parks, and near water bodies.",100,"Harsh, croaking “fraank” call, especially during flight or at colonies.",Year-round resident in the UK.,Patient and stealthy hunter; stands motionless before striking prey with its bill.
13,White Stork,Herons,Ciconia ciconia,"A large, graceful bird with white plumage, black wingtips, and a long red bill and legs, often associated with wetland habitats.","Large size, white plumage, black wingtips, long red legs, and a red, pointed bill.","Wetlands, grasslands, and agricultural fields; often nests on rooftops or tall structures.","Amphibians, fish, insects, small mammals, and reptiles.",Least Concern (globally); rare visitor to the UK.,,"Occasionally seen in southern England; small populations reintroduced in the UK (e.g., Knepp Estate in West Sussex).",110,"Generally silent; known for bill-clattering displays, especially at nests.",Rare visitor to the UK; more common in mainland Europe during spring and summer.,Often seen soaring on thermals; nests communally and uses its bill for clattering communication.
14,Spoonbill,Herons,Platalea leucorodia,"A large, elegant white waterbird with a distinctive spatula-shaped bill, often seen wading in shallow water.","Large, white plumage, long spatula-shaped bill, long neck, black legs.","Wetlands, estuaries, shallow lakes, and lagoons.","Aquatic invertebrates, small fish, and insects.",Least Concern,,"Found in a few wetlands in southern England (e.g., RSPB reserves at Minsmere and Titchwell).",85,Generally silent; occasionally makes soft grunting or croaking sounds.,Summer visitor to the UK; some populations may stay year-round in mild winters.,Feeds by sweeping its bill side-to-side in shallow water; often seen in small groups.
15,Greater Flamingo,Herons,Phoenicopterus roseus,"A tall, striking waterbird with pinkish-white plumage, long legs, and a distinctively curved pink-and-black bill.","Large size, pinkish-white plumage, long neck, long legs, curved pink-and-black bill.","Shallow lakes, salt pans, lagoons, and estuaries.","Algae, small crustaceans, and plankton, filtered through its specialized bill.",Least Concern,,"Rare visitor to the UK; occasionally seen in wetlands, particularly in southern England.",145,"Loud, goose-like honking sounds, often heard in flocks.","Rare visitor to the UK, typically from Europe or captive populations.",Often seen wading in water; feeds by dipping its bill upside-down to filter food.
16,Mute Swan,Swans,Cygnus olor,"A large, elegant waterbird with pure white plumage, an orange bill with a black knob, and a gracefully curved neck.","Large size, white plumage, orange bill with black knob, long neck, black legs.","Lakes, rivers, reservoirs, and canals.","Aquatic vegetation, grasses, and small invertebrates.",Least Concern,,Found across the UK in freshwater and slow-moving water bodies.,160,Generally silent; occasional hissing or soft grunting.,Year-round resident in the UK.,Graceful swimmer; often seen gliding on water; defends territory aggressively during breeding season.
17,Whopper Swan,Swans,Cygnus cygnus,"A large, elegant swan with white plumage, a long neck, and a distinctive yellow-and-black bill. Known for its loud, trumpeting call.","Large size, white plumage, yellow-and-black bill, long neck, and black legs.","Lakes, rivers, and wetlands; frequents estuaries and flooded fields in winter.","Aquatic plants, grasses, and occasionally grains from farmland.",Least Concern,,"Winter visitor to the UK, especially in Scotland, Northern Ireland, and northern England.",150,"Loud, trumpeting “whoop-whoop” call, often heard in flight.",Winter visitor to the UK; breeds in Iceland and Scandinavia.,"Social in winter, often found in flocks; grazes in fields and feeds in shallow water."
18,Pink-footed Goose,Geese,Anser brachyrhynchus,A medium-sized grayish goose with a short bill and distinctive pink legs and feet. Commonly seen in large flocks in winter.,"Medium size, grey-brown plumage, short pink-and-black bill, pink legs, and feet.","Estuaries, coastal marshes, and agricultural fields.","Grasses, grains, and roots.",Least Concern,,"Winter visitor to the UK, especially in eastern England, Scotland, and parts of Northern Ireland.",65,"High-pitched, yelping “wink-wink” calls, often heard in flight.",Winter visitor to the UK; breeds in Iceland and Greenland.,Feeds in flocks; often flies in V-shaped formations during migration.
19,White-fronted Goose,,Anser albifrons,"A medium-sized goose with grey-brown plumage, a white patch around the base of its pink bill, and black barring on the belly.","Medium size, grey-brown plumage, white face patch, pink bill, and black belly bars.","Wetlands, estuaries, coastal marshes, and agricultural fields.","Grasses, grains, and roots.",Least Concern,,"Winter visitor to southern England, Wales, and parts of Ireland.",70,"High-pitched, laughing “kla-ha-ha” calls, often heard in flight.",Winter visitor to the UK; breeds in the Arctic tundra.,Often seen in mixed flocks with other geese; grazes in fields and wetlands.
20,Greylag Goose,Geese,Anser anser,"A large, sturdy goose with grey-brown plumage, orange bill, and pale legs. It is the ancestor of most domestic geese.","Large size, grey-brown plumage, orange bill, pale pink legs, and a stocky build.","Lakes, wetlands, rivers, and agricultural fields.","Grasses, crops, and roots.",Least Concern,,"Found across the UK, especially in Scotland and northern England; also reintroduced to southern areas.",84,"Loud, honking “aahng-aahng,” often heard in flight or when alarmed.","Year-round resident, with numbers boosted by winter migrants from Iceland.",Social and often seen in large flocks; grazes in fields and swims gracefully in water.
21,Canada Goose,Geese,Branta canadensis,"A large, distinctive goose with a black head and neck, white chin strap, and brown body. Widely recognized and common in parks and wetlands.","Large size, black head and neck, white chin strap, brown body, and white underparts.","Lakes, rivers, wetlands, urban parks, and agricultural fields.","Grasses, grains, aquatic plants, and occasionally small invertebrates.",Least Concern,,"Found across the UK in parks, lakes, and rivers; especially common in urban areas.",100,"Loud honking “ahonk-ahonk,” often heard in flight or during social interactions.",Year-round resident in the UK; originally introduced from North America.,Social and often seen in flocks; grazes on land and forages in water; forms strong pair bonds.
22,Brent Goose,Geese,Branta bernicla,"A small, dark goose with black plumage, a white patch on the neck, and a contrasting greyish belly. Often seen in coastal areas during winter.","Small size, black head and neck, white neck patch, dark plumage, and grey belly.","Coastal estuaries, salt marshes, and mudflats.","Eelgrass, algae, and other aquatic plants.",Least Concern,,"Winter visitor to the UK; commonly seen in southern and eastern England, especially along estuaries.",61,"Low, guttural “rrot-rrot” or “crr-crr” calls, often heard in flocks.",Winter visitor; breeds in the Arctic and migrates to the UK in autumn.,Feeds in flocks on mudflats and estuaries; often grazes in fields near coastal areas.
23,Shelduck,Ducks,Tadorna tadorna,"A large, striking duck with a white body, chestnut breast band, black-green head, and a red bill. Often seen in coastal wetlands.","Large size, white body, chestnut breast band, black-green head, red bill, and pink legs.","Coastal estuaries, mudflats, and inland lakes.","Aquatic invertebrates, crustaceans, and small mollusks.",Least Concern,,"Found across the UK in coastal areas; particularly common in the Wash, Severn Estuary, and Morecambe Bay.",61,"Soft, high-pitched whistles and occasional grunts.","Year-round resident in the UK, with some migratory populations arriving in winter.",Feeds by dabbling or grazing; nests in burrows or rabbit holes near water.
24,Wigeon ,Ducks,Mareca penelope,"A medium-sized duck with distinctive plumage: males have a chestnut head with a creamy crown stripe, and females are mottled brown. Known for their whistling calls.","Medium size, males with chestnut head and creamy stripe, females mottled brown, pale grey body, and pointed tail.","Wetlands, lakes, estuaries, and coastal marshes.","Aquatic plants, grasses, and occasionally seeds.",Least Concern,,"Common winter visitor to the UK; seen in wetlands and estuaries, especially in southern and eastern England.",48,Males produce a distinctive whistling “whee-oo” call; females emit softer growls.,Winter visitor; breeds in northern Europe and Asia.,Grazes on land near water; forms large flocks in winter.
25,Gradwall,Ducks,Mareca strepera,"A medium-sized dabbling duck with understated, elegant plumage. Males are grey with a black rear end, while females are mottled brown, resembling a female Mallard.","Medium size, males with grey body and black rear, females mottled brown, white wing patch visible in flight.","Freshwater lakes, ponds, marshes, and reservoirs.","Aquatic plants, seeds, and small invertebrates.",Least Concern,,"Found across the UK in wetlands, especially in southern and eastern England.",50,"Males produce a short, nasal “rek” sound; females emit quacking calls similar to Mallards.",Year-round resident in the UK; numbers increase in winter with migrants from Europe.,Feeds by dabbling on the water’s surface or grazing on nearby land.
26,Teal,Ducks,Anas crecca,"A small, fast-flying duck with males showing a striking green eye patch and chestnut head, and females being mottled brown. Common in wetlands.","Small size, males with chestnut head and green eye patch, females mottled brown, pale underparts.","Freshwater marshes, lakes, estuaries, and floodplains.","Seeds, aquatic vegetation, and small invertebrates.",Least Concern,,Found across the UK in wetlands during winter; breeding in northern England and Scotland.,34,"Males produce a soft, high-pitched “wheep”; females emit a quiet quack.",Year-round resident; numbers increase significantly in winter with migrants from northern Europe.,Feeds by dabbling in shallow water; often seen in small flocks.
27,Mallard,Ducks,Anas platyrhynchos,"A large, widespread duck with males having a glossy green head and females being mottled brown. Known for their adaptability to urban and rural environments.","Large size, males with green head and yellow bill, females mottled brown, both with blue wing patch.","Lakes, ponds, rivers, canals, and wetlands.","Aquatic plants, seeds, insects, and small invertebrates.",Least Concern,,Found across the UK in almost all freshwater habitats; common in parks and gardens.,60,"Females emit a loud quacking “quack-quack”; males produce quieter, raspier calls.",Year-round resident in the UK.,Feeds by dabbling on the water’s surface or foraging on land; highly adaptable and often seen in urban areas.
28,Shoveler,Ducks,Spatula clypeata,"A medium-sized duck with a distinctive broad, flattened bill used for filtering food. Males have vibrant plumage with green heads, while females are mottled brown.","Medium size, broad shovel-like bill, males with green head and chestnut sides, females mottled brown.","Shallow wetlands, lakes, and marshes.","Aquatic invertebrates, seeds, and plankton, filtered through its unique bill.",Least Concern,,"Found in wetlands across the UK, particularly in southern and eastern England.",50,"Males produce a low, soft “took-took” sound; females emit quieter quacks.",Winter visitor; smaller numbers breed in the UK during summer.,Feeds by sweeping its broad bill side-to-side in shallow water; often seen in small flocks.
29,Garganey,Ducks,Spatula querquedula,"A small, elegant dabbling duck. Males have a distinctive white stripe over the eye, while females are mottled brown, resembling a female Teal.","Small size, males with white eye stripe and greyish flanks, females mottled brown, both with a slender profile.","Shallow wetlands, marshes, and floodplains with dense vegetation.","Aquatic plants, seeds, and small invertebrates.",Least Concern,,Breeding in a few locations in southern and eastern England; more common as a passage migrant in wetlands.,41,"Males produce a distinctive short, rattling “crr-crr-crr” call; females are quieter with soft quacks.",Summer breeder in the UK; migrates to Africa for winter.,"Feeds by dabbling or filtering food in shallow water; often found in small, quiet wetlands."
30,Pintail,Ducks,Anas acuta,"A graceful, slender duck with a long, pointed tail. Males have striking plumage with a brown head, white neck stripe, and grey body, while females are mottled brown.","Medium size, long pointed tail, males with brown head and white neck stripe, females mottled brown.","Wetlands, lakes, estuaries, and marshes.","Aquatic plants, seeds, and small invertebrates.",Least Concern,,"Found across the UK in wetlands during winter, particularly in southern and eastern England.",58,"Males produce a soft, whistling “whee-oo”; females emit low quacks.",Winter visitor in the UK; breeds in northern Europe and Asia.,Feeds by dabbling in shallow water; often seen in small flocks or mixed with other duck species.
31,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,
132,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,
134,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,
144,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,
146,,,,,,,,,,,,,,
147,,,,,,,,,,,,,,
148,,,,,,,,,,,,,,
149,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,
151,,,,,,,,,,,,,,
152,,,,,,,,,,,,,,
153,,,,,,,,,,,,,,
154,,,,,,,,,,,,,,
155,,,,,,,,,,,,,,
156,,,,,,,,,,,,,,
157,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,
159,,,,,,,,,,,,,,
160,,,,,,,,,,,,,,
161,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,
163,,,,,,,,,,,,,,
164,,,,,,,,,,,,,,
165,,,,,,,,,,,,,,
166,,,,,,,,,,,,,,
167,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,
170,,,,,,,,,,,,,,
171,,,,,,,,,,,,,,
172,,,,,,,,,,,,,,
173,,,,,,,,,,,,,,
174,,,,,,,,,,,,,,
175,,,,,,,,,,,,,,
176,,,,,,,,,,,,,,
177,,,,,,,,,,,,,,
178,,,,,,,,,,,,,,
179,,,,,,,,,,,,,,
180,,,,,,,,,,,,,,
181,,,,,,,,,,,,,,
182,,,,,,,,,,,,,,
183,,,,,,,,,,,,,,
184,,,,,,,,,,,,,,
185,,,,,,,,,,,,,,
186,,,,,,,,,,,,,,
187,,,,,,,,,,,,,,
188,,,,,,,,,,,,,,
189,,,,,,,,,,,,,,
190,,,,,,,,,,,,,,
191,,,,,,,,,,,,,,
192,,,,,,,,,,,,,,
193,,,,,,,,,,,,,,
194,,,,,,,,,,,,,,
195,,,,,,,,,,,,,,
196,,,,,,,,,,,,,,
197,,,,,,,,,,,,,,
198,,,,,,,,,,,,,,
199,,,,,,,,,,,,,,
